Gender,Height,Attire,Tattooed,Jittery,Fav Product,Phone,Bad?
1,63,10,1,1,Coke,Android,1
0,67,9,0,0,Coke,None,1
0,71,8,0,0,X,Android,1
0,68,9,1,1,Coke,None,1
0,66,8,0,1,Meth,iPhone,1
0,66,4,1,1,X,Blackberry,1
0,66,7,0,1,Meth,Android,1
0,71,8,1,0,Coke,None,0
0,66,5,1,0,X,None,0
1,63,3,1,0,Ketamine,Blackberry,0
0,69,8,0,1,Weed,None,0
0,69,1,0,0,Coke,None,0
0,71,5,0,0,Meth,Android,1
1,66,2,0,0,X,None,0
1,64,5,1,0,Meth,Blackberry,1
1,61,1,0,0,LSD,None,0
0,71,9,0,0,Meth,Blackberry,1
0,70,7,0,0,Weed,Blackberry,1
0,69,7,1,0,Coke,Blackberry,1
1,62,6,1,1,Coke,iPhone,1
1,64,5,0,0,Shrooms,None,1
0,69,4,0,0,LSD,None,0
1,61,5,1,0,Weed,iPhone,1
1,62,8,1,0,Coke,Flip,0
0,72,5,0,1,Weed,None,1
1,62,6,0,0,X,Android,1
0,72,7,0,1,X,None,1
0,67,5,1,0,Meth,Blackberry,1
1,62,5,0,1,Weed,iPhone,0
1,60,7,0,0,LSD,Blackberry,1
1,65,5,1,0,Weed,Blackberry,0
0,70,6,1,1,X,Blackberry,1
0,71,7,0,0,Coke,iPhone,0
0,67,6,0,0,Weed,None,0
1,61,1,1,0,Meth,Flip,0
1,64,5,0,1,Coke,Blackberry,1
1,64,3,1,0,Ketamine,Flip,0
1,63,6,0,1,Meth,Flip,1
0,68,8,0,0,Weed,Flip,0
1,63,8,0,1,Coke,Blackberry,1
1,61,7,1,0,LSD,iPhone,0
1,61,7,1,0,Ketamine,Android,0
0,70,8,0,0,Weed,Blackberry,1
1,64,3,1,1,Shrooms,None,0
0,69,7,0,0,Weed,Flip,0
0,67,3,1,1,Coke,Android,0
1,61,9,1,1,X,Blackberry,1
0,71,2,1,1,Weed,Flip,0
1,61,4,1,0,Shrooms,None,0
0,69,8,1,0,Shrooms,Android,0
1,65,7,1,1,Shrooms,iPhone,0
1,62,2,1,1,X,Android,0
1,61,7,1,1,Coke,Blackberry,1
1,63,6,1,1,X,Flip,0
0,67,0,1,0,LSD,None,0
1,60,2,1,0,LSD,Blackberry,0
1,64,2,1,0,X,iPhone,0
0,69,8,0,0,X,Android,1
1,63,7,1,1,Weed,iPhone,1
0,70,8,1,0,Ketamine,Android,0
1,62,5,1,0,LSD,Blackberry,0
0,72,7,0,1,Weed,None,1
1,61,3,1,0,Shrooms,Android,0
1,62,1,0,0,X,Android,0
0,68,10,0,0,Weed,Android,1
1,65,7,0,1,LSD,Blackberry,1
1,61,7,1,1,Shrooms,iPhone,0
0,71,1,1,1,Shrooms,None,0
0,70,5,1,0,Shrooms,iPhone,0
0,71,3,0,0,Ketamine,Blackberry,0
1,64,0,1,1,X,iPhone,0
1,60,4,0,0,Coke,Blackberry,1
0,68,2,0,0,LSD,Flip,0
1,60,5,1,1,Meth,Blackberry,1
0,71,4,1,0,Shrooms,None,0
0,67,7,1,0,Meth,Blackberry,0
0,71,2,0,0,Weed,iPhone,0
0,71,5,0,1,Coke,None,1
0,71,7,0,0,Weed,Blackberry,1
1,64,3,1,1,X,Flip,0
1,61,2,1,0,Shrooms,None,0
1,60,7,0,1,Meth,None,1
1,62,6,0,1,Weed,iPhone,1
0,67,8,1,1,LSD,Android,0
0,68,4,1,1,Shrooms,Blackberry,0
1,64,8,0,1,LSD,Flip,1
1,62,5,0,1,LSD,Blackberry,1
1,62,1,0,0,Shrooms,None,0
1,60,4,0,1,Weed,iPhone,0
1,64,3,1,0,Shrooms,Blackberry,0
1,61,0,1,0,LSD,Blackberry,0
0,68,0,1,0,Ketamine,iPhone,0
1,65,8,1,0,Weed,Flip,1
0,67,6,0,0,Meth,None,1
1,64,5,0,1,Weed,Blackberry,1
0,69,6,0,0,Coke,Android,1
1,61,9,1,1,X,Blackberry,1
0,67,5,1,0,X,Flip,1
0,67,6,0,1,LSD,Android,1
0,67,5,1,0,Ketamine,iPhone,0
